GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US18003,"Allen County, Indiana",138507
0500000US18005,"Bartholomew County, Indiana",29640
0500000US18019,"Clark County, Indiana",42802
0500000US18035,"Delaware County, Indiana",46572
0500000US18039,"Elkhart County, Indiana",70857
0500000US18043,"Floyd County, Indiana",29144
0500000US18053,"Grant County, Indiana",26803
0500000US18057,"Hamilton County, Indiana",105029
0500000US18059,"Hancock County, Indiana",25526
0500000US18063,"Hendricks County, Indiana",52547
0500000US18067,"Howard County, Indiana",33901
0500000US18081,"Johnson County, Indiana",52658
0500000US18085,"Kosciusko County, Indiana",29592
0500000US18089,"Lake County, Indiana",177540
0500000US18091,"LaPorte County, Indiana",43468
0500000US18095,"Madison County, Indiana",49124
0500000US18097,"Marion County, Indiana",363157
0500000US18105,"Monroe County, Indiana",53974
0500000US18109,"Morgan County, Indiana",26442
0500000US18127,"Porter County, Indiana",61661
0500000US18141,"St. Joseph County, Indiana",101613
0500000US18157,"Tippecanoe County, Indiana",67977
0500000US18163,"Vanderburgh County, Indiana",74334
0500000US18167,"Vigo County, Indiana",40277
0500000US18177,"Wayne County, Indiana",27849
0500000US19013,"Black Hawk County, Iowa",51942
0500000US19049,"Dallas County, Iowa",27428
0500000US19061,"Dubuque County, Iowa",37726
0500000US19103,"Johnson County, Iowa",55354
0500000US19113,"Linn County, Iowa",84305
0500000US19153,"Polk County, Iowa",174383
0500000US19155,"Pottawattamie County, Iowa",36552
0500000US19163,"Scott County, Iowa",67107
0500000US19169,"Story County, Iowa",35541
0500000US19193,"Woodbury County, Iowa",37548
0500000US20015,"Butler County, Kansas",24511
0500000US20045,"Douglas County, Kansas",43992
0500000US20091,"Johnson County, Kansas",219044
0500000US20103,"Leavenworth County, Kansas",26884
0500000US20161,"Riley County, Kansas",26568
0500000US20173,"Sedgwick County, Kansas",192294
0500000US20177,"Shawnee County, Kansas",71099
0500000US20209,"Wyandotte County, Kansas",58573
0500000US21015,"Boone County, Kentucky",44619
0500000US21029,"Bullitt County, Kentucky",27657
0500000US21037,"Campbell County, Kentucky",36005
0500000US21047,"Christian County, Kentucky",25943
0500000US21059,"Daviess County, Kentucky",39251
0500000US21067,"Fayette County, Kentucky",122920
0500000US21093,"Hardin County, Kentucky",39116
0500000US21111,"Jefferson County, Kentucky",307870
0500000US21117,"Kenton County, Kentucky",62202
0500000US21145,"McCracken County, Kentucky",27718
0500000US21151,"Madison County, Kentucky",30794
0500000US21195,"Pike County, Kentucky",25716
0500000US21227,"Warren County, Kentucky",45890
0500000US22005,"Ascension Parish, Louisiana",39794
0500000US22015,"Bossier Parish, Louisiana",46685
0500000US22017,"Caddo Parish, Louisiana",96648
0500000US22019,"Calcasieu Parish, Louisiana",74708
0500000US22033,"East Baton Rouge Parish, Louisiana",167731
0500000US22045,"Iberia Parish, Louisiana",26359
0500000US22051,"Jefferson Parish, Louisiana",166492
0500000US22055,"Lafayette Parish, Louisiana",88097
0500000US22057,"Lafourche Parish, Louisiana",35392
0500000US22063,"Livingston Parish, Louisiana",47228
0500000US22071,"Orleans Parish, Louisiana",151735
0500000US22073,"Ouachita Parish, Louisiana",58133
0500000US22079,"Rapides Parish, Louisiana",49299
0500000US22097,"St. Landry Parish, Louisiana",30937
0500000US22103,"St. Tammany Parish, Louisiana",89333
0500000US22105,"Tangipahoa Parish, Louisiana",43653
0500000US22109,"Terrebonne Parish, Louisiana",39043
0500000US23001,"Androscoggin County, Maine",44641
0500000US23003,"Aroostook County, Maine",30811
0500000US23005,"Cumberland County, Maine",118269
0500000US23011,"Kennebec County, Maine",51547
0500000US23019,"Penobscot County, Maine",63171
0500000US23031,"York County, Maine",80221
0500000US24001,"Allegany County, Maryland",28565
0500000US24003,"Anne Arundel County, Maryland",201934
0500000US24005,"Baltimore County, Maryland",312306
0500000US24009,"Calvert County, Maryland",31054
0500000US24013,"Carroll County, Maryland",60030
0500000US24015,"Cecil County, Maryland",35497
0500000US24017,"Charles County, Maryland",52267
0500000US24021,"Frederick County, Maryland",86492
0500000US24025,"Harford County, Maryland",91628
0500000US24027,"Howard County, Maryland",107659
0500000US24031,"Montgomery County, Maryland",361116
0500000US24033,"Prince George's County, Maryland",303735
0500000US24037,"St. Mary's County, Maryland",39195
0500000US24043,"Washington County, Maryland",56459
0500000US24045,"Wicomico County, Maryland",36857
0500000US24510,"Baltimore city, Maryland",244397
0500000US25001,"Barnstable County, Massachusetts",89766
0500000US25003,"Berkshire County, Massachusetts",55420
0500000US25005,"Bristol County, Massachusetts",208983
0500000US25009,"Essex County, Massachusetts",283543
0500000US25011,"Franklin County, Massachusetts",29377
0500000US25013,"Hampden County, Massachusetts",176328
0500000US25015,"Hampshire County, Massachusetts",57748
0500000US25017,"Middlesex County, Massachusetts",582405
0500000US25021,"Norfolk County, Massachusetts",258307
0500000US25023,"Plymouth County, Massachusetts",181541
0500000US25025,"Suffolk County, Massachusetts",288791
0500000US25027,"Worcester County, Massachusetts",300308
0500000US26005,"Allegan County, Michigan",42930
0500000US26017,"Bay County, Michigan",43967
0500000US26021,"Berrien County, Michigan",60223
0500000US26025,"Calhoun County, Michigan",53182
0500000US26037,"Clinton County, Michigan",29443
0500000US26045,"Eaton County, Michigan",42811
0500000US26049,"Genesee County, Michigan",166225
0500000US26055,"Grand Traverse County, Michigan",35018
0500000US26065,"Ingham County, Michigan",109008
0500000US26073,"Isabella County, Michigan",24663
0500000US26075,"Jackson County, Michigan",60420
0500000US26077,"Kalamazoo County, Michigan",100789
0500000US26081,"Kent County, Michigan",231171
0500000US26087,"Lapeer County, Michigan",32790
0500000US26091,"Lenawee County, Michigan",37998
0500000US26093,"Livingston County, Michigan",66808
0500000US26099,"Macomb County, Michigan",330541
0500000US26103,"Marquette County, Michigan",27203
0500000US26111,"Midland County, Michigan",33235
0500000US26115,"Monroe County, Michigan",57506
0500000US26121,"Muskegon County, Michigan",63860
0500000US26125,"Oakland County, Michigan",489897
0500000US26139,"Ottawa County, Michigan",95048
0500000US26145,"Saginaw County, Michigan",78010
0500000US26147,"St. Clair County, Michigan",65075
0500000US26155,"Shiawassee County, Michigan",27132
0500000US26159,"Van Buren County, Michigan",27740
0500000US26161,"Washtenaw County, Michigan",137565
0500000US26163,"Wayne County, Michigan",660724
0500000US27003,"Anoka County, Minnesota",123554
0500000US27013,"Blue Earth County, Minnesota",24133
0500000US27019,"Carver County, Minnesota",34108
0500000US27037,"Dakota County, Minnesota",155314
0500000US27053,"Hennepin County, Minnesota",484276
0500000US27109,"Olmsted County, Minnesota",57099
0500000US27123,"Ramsey County, Minnesota",206261
0500000US27137,"St. Louis County, Minnesota",84386
0500000US27139,"Scott County, Minnesota",46461
0500000US27141,"Sherburne County, Minnesota",30387
0500000US27145,"Stearns County, Minnesota",56494
0500000US27163,"Washington County, Minnesota",89237
0500000US27171,"Wright County, Minnesota",45478
0500000US28033,"DeSoto County, Mississippi",59172
0500000US28035,"Forrest County, Mississippi",26949
0500000US28047,"Harrison County, Mississippi",74711
0500000US28049,"Hinds County, Mississippi",87734
0500000US28059,"Jackson County, Mississippi",50625
0500000US28067,"Jones County, Mississippi",26241
0500000US28075,"Lauderdale County, Mississippi",29327
0500000US28081,"Lee County, Mississippi",31638
0500000US28089,"Madison County, Mississippi",36631
0500000US28121,"Rankin County, Mississippi",51982
0500000US29019,"Boone County, Missouri",66360
0500000US29021,"Buchanan County, Missouri",34021
0500000US29031,"Cape Girardeau County, Missouri",29991
0500000US29037,"Cass County, Missouri",37473
0500000US29043,"Christian County, Missouri",28939
0500000US29047,"Clay County, Missouri",85739
0500000US29051,"Cole County, Missouri",29930
0500000US29071,"Franklin County, Missouri",38661
0500000US29077,"Greene County, Missouri",116561
0500000US29095,"Jackson County, Missouri",270124
0500000US29097,"Jasper County, Missouri",46126
0500000US29099,"Jefferson County, Missouri",80387
0500000US29165,"Platte County, Missouri",36711
0500000US29183,"St. Charles County, Missouri",137482
0500000US29187,"St. Francois County, Missouri",24023
0500000US29189,"St. Louis County, Missouri",401718
0500000US29510,"St. Louis city, Missouri",139930
0500000US30013,"Cascade County, Montana",33471
0500000US30029,"Flathead County, Montana",37405
0500000US30031,"Gallatin County, Montana",36191
0500000US30063,"Missoula County, Montana",46384
0500000US30111,"Yellowstone County, Montana",61003
0500000US31055,"Douglas County, Nebraska",206545
0500000US31109,"Lancaster County, Nebraska",115943
0500000US31153,"Sarpy County, Nebraska",61958
0500000US32003,"Clark County, Nevada",715837
0500000US32031,"Washoe County, Nevada",163902
0500000US33005,"Cheshire County, New Hampshire",30301
0500000US33009,"Grafton County, New Hampshire",36241
0500000US33011,"Hillsborough County, New Hampshire",155260
0500000US33013,"Merrimack County, New Hampshire",57222
0500000US33015,"Rockingham County, New Hampshire",115765
0500000US33017,"Strafford County, New Hampshire",47359
0500000US34001,"Atlantic County, New Jersey",100065
0500000US34003,"Bergen County, New Jersey",336856
0500000US34005,"Burlington County, New Jersey",164819
0500000US34007,"Camden County, New Jersey",185477
0500000US34009,"Cape May County, New Jersey",40470
0500000US34011,"Cumberland County, New Jersey",50068
0500000US34013,"Essex County, New Jersey",279102
0500000US34015,"Gloucester County, New Jersey",104691
0500000US34017,"Hudson County, New Jersey",249028
0500000US34019,"Hunterdon County, New Jersey",47227
0500000US34021,"Mercer County, New Jersey",132004
0500000US34023,"Middlesex County, New Jersey",283337
0500000US34025,"Monmouth County, New Jersey",236447
0500000US34027,"Morris County, New Jersey",179876
0500000US34029,"Ocean County, New Jersey",223599
0500000US34031,"Passaic County, New Jersey",163712
0500000US34033,"Salem County, New Jersey",24861
0500000US34035,"Somerset County, New Jersey",116840
0500000US34037,"Sussex County, New Jersey",54179
0500000US34039,"Union County, New Jersey",184879
0500000US34041,"Warren County, New Jersey",41262
0500000US35001,"Bernalillo County, New Mexico",264780
0500000US35005,"Chaves County, New Mexico",22944
0500000US35013,"Doña Ana County, New Mexico",73717
0500000US35025,"Lea County, New Mexico",21241
0500000US35031,"McKinley County, New Mexico",18200
0500000US35035,"Otero County, New Mexico",22769
0500000US35043,"Sandoval County, New Mexico",47606
0500000US35045,"San Juan County, New Mexico",40025
0500000US35049,"Santa Fe County, New Mexico",62311
0500000US35061,"Valencia County, New Mexico",27369
0500000US36001,"Albany County, New York",121119
0500000US36005,"Bronx County, New York",475978
0500000US36007,"Broome County, New York",81687
0500000US36009,"Cattaraugus County, New York",32347
0500000US36011,"Cayuga County, New York",30354
0500000US36013,"Chautauqua County, New York",51814
0500000US36015,"Chemung County, New York",34867
0500000US36019,"Clinton County, New York",32451
0500000US36027,"Dutchess County, New York",107106
0500000US36029,"Erie County, New York",379094
0500000US36045,"Jefferson County, New York",45845
0500000US36047,"Kings County, New York",919333
0500000US36051,"Livingston County, New York",24038
0500000US36053,"Madison County, New York",25991
