,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020,Population 2019,Violent Crime Total 2019,Property Crime Total 2019,Population 2020,Violent Crime Total 2020,Property Crime Total 2020,Income_2019,Income_2020
800,53063,355650,413300,220432.0,1520.0,13048.0,223524.0,1341.0,11514.0,46902.0,50038.0
801,26161,355783,348367,122893.0,309.0,2124.0,120647.0,294.0,1592.0,61101.0,63655.0
803,27139,356925,368333,41892.0,81.0,745.0,33020.0,33.0,406.0,62916.0,65655.0
806,25023,359500,394900,95287.0,782.0,1853.0,99171.0,752.0,1659.0,68792.0,74034.0
807,41071,359508,396567,34935.0,69.0,758.0,35040.0,95.0,782.0,47151.0,51028.0
808,37179,360842,368200,35630.0,332.0,1881.0,35836.0,364.0,1736.0,54534.0,56820.0
809,36091,361542,384233,28186.0,64.0,448.0,28397.0,53.0,449.0,72219.0,77398.0
810,47157,361650,359333,650410.0,12367.0,39860.0,650937.0,15310.0,36197.0,50468.0,53855.0
811,37119,361700,362400,58512.0,79.0,948.0,59470.0,99.0,881.0,62846.0,65244.0
812,24033,361725,370833,59093.0,59.0,896.0,59008.0,61.0,548.0,49947.0,54195.0
813,34025,362617,315350,30352.0,109.0,625.0,30175.0,92.0,560.0,82270.0,86091.0
814,27037,363500,395733,67206.0,45.0,564.0,61445.0,150.0,1560.0,61977.0,64748.0
816,48259,364700,392300,18135.0,23.0,340.0,19342.0,31.0,272.0,83573.0,84853.0
817,48157,364883,362533,75747.0,107.0,811.0,119671.0,68.0,1277.0,61061.0,61791.0
818,53015,368592,389233,38282.0,101.0,1102.0,38629.0,99.0,1196.0,45124.0,48232.0
820,26081,368850,406150,201799.0,1286.0,3850.0,202513.0,1443.0,3956.0,53799.0,57397.0
821,48209,369567,408267,66279.0,241.0,1530.0,67432.0,283.0,1419.0,47854.0,50212.0
822,8119,369717,372367,7863.0,11.0,111.0,7969.0,13.0,100.0,51337.0,54587.0
823,4025,369775,410550,46700.0,93.0,474.0,47459.0,80.0,374.0,41076.0,44490.0
824,12127,370533,344700,69834.0,794.0,2833.0,70084.0,725.0,2145.0,44427.0,46475.0
826,25001,372517,409600,44032.0,178.0,425.0,44169.0,188.0,350.0,75339.0,80420.0
827,12091,373325,389767,25152.0,96.0,644.0,25787.0,93.0,602.0,51341.0,54630.0
828,26163,375158,379900,663502.0,13040.0,28550.0,659616.0,14370.0,21178.0,44308.0,48788.0
829,45013,375767,384900,24812.0,46.0,220.0,27549.0,25.0,199.0,59377.0,61298.0
830,12131,376233,399133,6940.0,29.0,188.0,7200.0,32.0,182.0,66036.0,69862.0
831,12085,377042,362067,16424.0,53.0,402.0,16347.0,45.0,355.0,87423.0,89185.0
832,47093,377358,367867,188666.0,1259.0,8207.0,188672.0,1528.0,7977.0,52422.0,54642.0
834,6099,379142,401800,216542.0,1758.0,7183.0,216560.0,1603.0,5340.0,43402.0,48954.0
835,34023,379967,378000,55995.0,262.0,1111.0,55701.0,285.0,964.0,62665.0,66640.0
836,34031,380150,367000,144866.0,1219.0,3132.0,144947.0,1433.0,2160.0,51203.0,55775.0
837,37135,380667,369133,61457.0,58.0,926.0,64853.0,93.0,1140.0,65530.0,67089.0
838,6007,381483,391950,95826.0,557.0,2406.0,105355.0,540.0,2113.0,45175.0,50279.0
840,13121,384592,403100,110760.0,143.0,1972.0,111219.0,164.0,1539.0,92961.0,95683.0
841,27019,387350,386567,27143.0,16.0,253.0,27353.0,11.0,258.0,73023.0,75677.0
843,8123,390617,446000,109255.0,386.0,2542.0,110505.0,470.0,2722.0,48923.0,52054.0
845,49057,391850,371400,87875.0,384.0,3211.0,88309.0,446.0,2915.0,43477.0,46675.0
846,6027,392675,377400,3731.0,34.0,183.0,3733.0,26.0,133.0,60229.0,64335.0
847,8067,395658,439267,19271.0,75.0,611.0,19220.0,68.0,957.0,57722.0,61304.0
848,10003,397742,433367,70624.0,1058.0,3150.0,70100.0,1115.0,2598.0,57404.0,59955.0
849,16085,398367,392867,3541.0,13.0,51.0,3677.0,10.0,55.0,50329.0,52298.0
850,49011,399242,373700,78585.0,129.0,1558.0,79240.0,142.0,1409.0,48778.0,51852.0
851,18011,399417,421433,27630.0,4.0,78.0,28824.0,14.0,86.0,77641.0,80314.0
852,12009,404075,461200,115520.0,396.0,1981.0,116897.0,328.0,1770.0,48539.0,51507.0
853,6029,405100,419733,388080.0,1766.0,16074.0,388265.0,2007.0,15619.0,39559.0,44721.0
854,26125,407192,386133,84688.0,67.0,1042.0,84441.0,86.0,732.0,73468.0,76941.0
855,55089,408958,412067,24548.0,14.0,176.0,24527.0,12.0,205.0,85526.0,87395.0
856,12101,410475,423750,16703.0,132.0,505.0,16954.0,117.0,434.0,42495.0,45461.0
857,53073,410758,430800,91906.0,251.0,2689.0,93629.0,240.0,4306.0,49868.0,52787.0
858,48091,412417,392167,88706.0,219.0,1120.0,94751.0,219.0,1230.0,61124.0,62994.0
859,39041,414317,400450,40616.0,60.0,477.0,42064.0,57.0,367.0,76131.0,79382.0
860,8001,416825,443533,380600.0,2799.0,11106.0,385720.0,3473.0,13079.0,45026.0,48115.0
861,41051,421017,436700,662114.0,3606.0,34452.0,662941.0,3465.0,31416.0,59402.0,63852.0
