RegionName,StateName,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020
"Bellevue, KY",Kentucky,21037,144183,129700
"Grant, MI",Michigan,26123,144417,191400
"Salisbury, NC",North Carolina,37159,144483,156000
"Greensburg, PA",Pennsylvania,42129,144542,149700
"Rice Lake, WI",Wisconsin,55005,144650,129100
"Long Beach, MS",Mississippi,28047,144817,159833
"Fort Wayne, IN",Indiana,18003,144908,157767
"Marrero, LA",Louisiana,22051,145000,160333
"University Heights, OH",Ohio,39035,145017,144167
"Chickamauga, GA",Georgia,13295,145142,135667
"Calhoun, GA",Georgia,13129,145200,156850
"Anderson, SC",South Carolina,45007,145208,162233
"London, KY",Kentucky,21125,145225,151167
"Lake Wales, FL",Florida,12105,145242,158100
"La Porte, IN",Indiana,18091,145267,145450
"Cedar Rapids, IA",Iowa,19113,145367,150700
"Petersburg, VA",Virginia,51730,145383,161700
"New Britain, CT",Connecticut,9003,145458,157667
"Fox Lake, IL",Illinois,17097,145475,159600
"Charlotte, MI",Michigan,26045,145550,169233
"Midland, MI",Michigan,26111,145767,143833
"Thief River Falls, MN",Minnesota,27113,145775,154700
"Ocala, FL",Florida,12083,145808,162050
"Palmyra, NJ",New Jersey,34005,145883,162967
"Augusta, ME",Maine,23011,145908,159433
"Brunswick, GA",Georgia,13127,146033,144700
"Chambersburg, PA",Pennsylvania,42055,146033,143533
"Lake Placid, FL",Florida,12055,146033,154067
"Forest Hill, TX",Texas,48439,146150,172933
"Enterprise, AL",Alabama,1031,146258,162033
"Dekalb, IL",Illinois,17037,146283,151933
"Wilmington, OH",Ohio,39027,146308,152100
"Jefferson City, MO",Missouri,29051,146350,153933
"Safford, AZ",Arizona,4009,146517,165100
"Murray, KY",Kentucky,21035,146675,139033
"Dothan, AL",Alabama,1069,146817,148333
"El Paso, TX",Texas,48141,146875,155750
"La Marque, TX",Texas,48167,146883,165233
"Berea, KY",Kentucky,21151,146900,157500
"Tonawanda, NY",New York,36029,147050,152933
"Trenton, MI",Michigan,26163,147125,162067
"Merrillville, IN",Indiana,18089,147150,154600
"Browns Mills, NJ",New Jersey,34005,147575,165600
"Beaver Dam, WI",Wisconsin,55027,147725,148133
"Maywood, IL",Illinois,17031,147733,160200
"Paw Paw, MI",Michigan,26159,147917,144067
"Oklahoma City, OK",Oklahoma,40109,147958,151400
"Speedway, IN",Indiana,18097,147983,154267
"Edgewood, MD",Maryland,24025,148017,160700
"Southfield, MI",Michigan,26125,148050,154500
"Shillington, PA",Pennsylvania,42011,148225,130200
"Hobart, IN",Indiana,18089,148392,155300
"Morganton, NC",North Carolina,37023,148475,152800
"Affton, MO",Missouri,29189,148492,157500
"Madison Heights, VA",Virginia,51009,148517,144433
"Winston-Salem, NC",North Carolina,37067,148533,159600
"Killen, AL",Alabama,1077,148633,191667
"Panama City, FL",Florida,12005,148733,188133
"Benton, AR",Arkansas,5125,148750,158533
"Jacksboro, TN",Tennessee,47013,148767,155833
"Hope Mills, NC",North Carolina,37051,148808,157133
"Bartow, FL",Florida,12105,148817,148600
"Marshfield, WI",Wisconsin,55141,148858,154767
"Flushing, MI",Michigan,26049,148942,146733
"Kent, OH",Ohio,39133,148950,150700
"Semmes, AL",Alabama,1097,148950,166867
"Tecumseh, MI",Michigan,26091,149158,168100
"Fraser, MI",Michigan,26099,149167,147500
"Midlothian, IL",Illinois,17031,149358,135500
"Chalmette, LA",Louisiana,22087,149558,155367
"Cabot, AR",Arkansas,5085,149725,153600
"Claremore, OK",Oklahoma,40131,149833,166267
"North Tonawanda, NY",New York,36063,149917,149400
"Wonder Lake, IL",Illinois,17111,150000,157333
"Round Lake Beach, IL",Illinois,17097,150117,162733
"Winchester, KY",Kentucky,21049,150142,146200
"Tomah, WI",Wisconsin,55081,150183,145300
"Greenville, MI",Michigan,26117,150192,156867
"Moore, OK",Oklahoma,40027,150350,151167
"Marion, AR",Arkansas,5035,150417,151267
"Palm River-Clair Mel, FL",Florida,12057,150517,157500
"Lynchburg, VA",Virginia,51680,150633,159650
"Phenix City, AL",Alabama,1113,150650,163933
"Effingham, IL",Illinois,17049,150650,155067
"West Allis, WI",Wisconsin,55079,150725,167500
"Sherwood, AR",Arkansas,5119,150783,160167
"Leavenworth, KS",Kansas,20103,150967,152100
"Monroeville, PA",Pennsylvania,42003,151042,150933
"Cleves, OH",Ohio,39061,151108,183200
"Indianapolis, IN",Indiana,18097,151217,161233
"York, PA",Pennsylvania,42133,151242,159500
"Tullahoma, TN",Tennessee,47031,151267,164733
"East Stroudsburg, PA",Pennsylvania,42089,151308,168767
"Monroe, WI",Wisconsin,55045,151325,143867
"Auburn, IN",Indiana,18033,151375,166900
"Brighton, TN",Tennessee,47167,151392,163100
"Laurel, DE",Delaware,10005,151633,167100
"Waynesville, MO",Missouri,29169,151783,161633
"Homewood, IL",Illinois,17031,151908,150433
"Willoughby, OH",Ohio,39085,151925,143467
"New Franklin, OH",Ohio,39153,151958,141900
"Pickens, SC",South Carolina,45077,152067,143700
"North Platte, NE",Nebraska,31111,152133,158700
"Winona, MN",Minnesota,27169,152217,152600
"Jeffersonville, IN",Indiana,18019,152267,164267
"Clovis, NM",New Mexico,35009,152442,165900
"Pine Hills, FL",Florida,12095,152467,174800
"Warrior, AL",Alabama,1073,152500,160267
"Wooster, OH",Ohio,39169,152550,163900
"Hamilton, OH",Ohio,39017,152567,159733
"Canyon, TX",Texas,48381,152725,161600
"Wichita, KS",Kansas,20173,152975,157350
"Jonesboro, AR",Arkansas,5031,152975,161700
"Mission, TX",Texas,48215,153000,172800
"Mehlville, MO",Missouri,29189,153042,163633
"Madisonville, TN",Tennessee,47123,153042,157533
"Bardstown, KY",Kentucky,21179,153058,162767
"Lawrenceburg, KY",Kentucky,21005,153142,147450
"Woodbury, NJ",New Jersey,34015,153192,155433
"Edinburg, TX",Texas,48215,153250,147600
"Coweta, OK",Oklahoma,40145,153375,165600
"Fort Pierce, FL",Florida,12111,153483,164133
"Washington, NC",North Carolina,37013,153642,168333
"Titusville, FL",Florida,12009,153658,171150
"Champaign, IL",Illinois,17019,153808,153667
"Rio Rico, AZ",Arizona,4023,153825,183450
"Trenton, OH",Ohio,39017,153833,153833
"Glenpool, OK",Oklahoma,40143,153833,158533
"Carrollton, GA",Georgia,13045,153842,155300
"Harrah, OK",Oklahoma,40109,154008,165000
"Cloquet, MN",Minnesota,27017,154025,146633
"Crystal River, FL",Florida,12017,154092,162133
"Lewiston, ME",Maine,23001,154225,173000
"Norwood, OH",Ohio,39061,154267,162867
"Cincinnati, OH",Ohio,39061,154308,164600
"Temple, GA",Georgia,13045,154408,155000
"Miamisburg, OH",Ohio,39113,154433,160367
"Portsmouth, VA",Virginia,51740,154525,153867
"Cudahy, WI",Wisconsin,55079,154692,167867
"Clinton, TN",Tennessee,47001,154792,179833
"Shepherdsville, KY",Kentucky,21029,154800,169000
"California City, CA",California,6029,154983,154100
"Cullman, AL",Alabama,1043,155033,148633
"Byron, GA",Georgia,13225,155050,151900
"Conyers, GA",Georgia,13247,155150,162200
"Liverpool, NY",New York,36067,155150,156967
"Crossville, TN",Tennessee,47035,155192,162900
"Gastonia, NC",North Carolina,37071,155333,159033
"Republic, MO",Missouri,29077,155342,159033
"Wyoming, MI",Michigan,26081,155400,164350
"West Monroe, LA",Louisiana,22073,155408,160833
"Martinsville, IN",Indiana,18109,155442,159433
"Shelbyville, TN",Tennessee,47003,155533,171433
"Siloam Springs, AR",Arkansas,5007,155550,177600
